service,dow,dow_label,hour,avg_trips
yellow,1,Tue,8,13138.33
yellow,1,Tue,9,12558.39
yellow,1,Tue,10,11555.33
yellow,1,Tue,11,11576.81
yellow,1,Tue,12,12085.61
yellow,1,Tue,13,12108.76
yellow,1,Tue,14,12979.5
yellow,1,Tue,15,12674.98
yellow,1,Tue,16,11274.31
yellow,1,Tue,17,13372.81
yellow,1,Tue,18,15756.28
yellow,1,Tue,19,15327.97
yellow,1,Tue,20,14507.58
yellow,1,Tue,21,14460.49
yellow,1,Tue,22,12962.83
yellow,1,Tue,23,9648.5
yellow,2,Wed,0,6114.53
yellow,2,Wed,1,3549.66
yellow,2,Wed,2,2203.3
yellow,2,Wed,3,1477.24
yellow,2,Wed,4,1436.86
yellow,2,Wed,5,2362.14
yellow,2,Wed,6,6313.97
yellow,2,Wed,7,11155.35
yellow,2,Wed,8,13379.21
yellow,2,Wed,9,12780.27
yellow,2,Wed,10,11828.86
yellow,2,Wed,11,12025.49
yellow,2,Wed,12,12541.72
yellow,2,Wed,13,12508.88
yellow,2,Wed,14,13117.14
yellow,2,Wed,15,12727.68
yellow,2,Wed,16,11270.18
yellow,2,Wed,17,13470.93
yellow,2,Wed,18,15867.55
yellow,2,Wed,19,15971.73
yellow,2,Wed,20,15128.84
yellow,2,Wed,21,15153.37
yellow,2,Wed,22,13989.76
yellow,2,Wed,23,10949.64
yellow,3,Thu,0,7121.11
yellow,3,Thu,1,4177.14
yellow,3,Thu,2,2604.24
yellow,3,Thu,3,1723.41
yellow,3,Thu,4,1604.4
yellow,3,Thu,5,2450.87
yellow,3,Thu,6,6413.74
yellow,3,Thu,7,11226.14
yellow,3,Thu,8,13340.35
yellow,3,Thu,9,12752.15
yellow,3,Thu,10,11892.11
yellow,3,Thu,11,12044.42
yellow,3,Thu,12,12611.62
yellow,3,Thu,13,12580.37
yellow,3,Thu,14,13377.28
yellow,3,Thu,15,12818.92
yellow,3,Thu,16,11203.02
yellow,3,Thu,17,13375.98
yellow,3,Thu,18,15905.6
yellow,3,Thu,19,16103.89
yellow,3,Thu,20,15486.14
yellow,3,Thu,21,15577.89
yellow,3,Thu,22,14771.27
yellow,3,Thu,23,12728.57
yellow,4,Fri,0,9393.41
yellow,4,Fri,1,6069.63
yellow,4,Fri,2,3927.33
yellow,4,Fri,3,2605.73
yellow,4,Fri,4,2153.67
yellow,4,Fri,5,2596.66
yellow,4,Fri,6,6084.0
yellow,4,Fri,7,10365.68
yellow,4,Fri,8,12511.28
yellow,4,Fri,9,12185.9
yellow,4,Fri,10,11531.88
yellow,4,Fri,11,11832.44
yellow,4,Fri,12,12293.21
yellow,4,Fri,13,12291.53
yellow,4,Fri,14,13291.94
yellow,4,Fri,15,12643.44
yellow,4,Fri,16,11241.29
yellow,4,Fri,17,13477.36
yellow,4,Fri,18,15893.04
yellow,4,Fri,19,16377.53
yellow,4,Fri,20,14700.69
yellow,4,Fri,21,14376.41
yellow,4,Fri,22,14891.97
yellow,4,Fri,23,14456.81
yellow,5,Sat,0,12930.99
yellow,5,Sat,1,10897.53
yellow,5,Sat,2,8835.29
yellow,5,Sat,3,6482.25
yellow,5,Sat,4,4145.33
yellow,5,Sat,5,2156.54
yellow,5,Sat,6,2831.01
yellow,5,Sat,7,4128.52
yellow,5,Sat,8,6216.58
yellow,5,Sat,9,8823.22
yellow,5,Sat,10,10667.82
yellow,5,Sat,11,12020.97
yellow,5,Sat,12,13028.15
yellow,5,Sat,13,13276.73
yellow,5,Sat,14,12952.58
yellow,5,Sat,15,13048.63
yellow,5,Sat,16,12120.27
yellow,5,Sat,17,13297.88
yellow,5,Sat,18,14820.33
yellow,5,Sat,19,15157.0
yellow,5,Sat,20,13147.61
yellow,5,Sat,21,12992.48
yellow,5,Sat,22,14020.12
yellow,5,Sat,23,14284.39
yellow,6,Sun,0,13068.18
yellow,6,Sun,1,11678.13
yellow,6,Sun,2,9286.19
yellow,6,Sun,3,7224.78
yellow,6,Sun,4,4620.19
yellow,6,Sun,5,2189.07
yellow,6,Sun,6,2389.45
yellow,6,Sun,7,3244.04
yellow,6,Sun,8,4823.0
yellow,6,Sun,9,7144.28
yellow,6,Sun,10,9692.25
yellow,6,Sun,11,11196.92
yellow,6,Sun,12,12196.08
yellow,6,Sun,13,12276.71
yellow,6,Sun,14,12349.18
yellow,6,Sun,15,11917.24
yellow,6,Sun,16,11471.75
yellow,6,Sun,17,11967.28
yellow,6,Sun,18,12345.44
yellow,6,Sun,19,11270.2
yellow,6,Sun,20,10228.64
yellow,6,Sun,21,9741.78
yellow,6,Sun,22,8769.51
yellow,6,Sun,23,6964.89
